     Pclass   Age  Sex   Age  SibSp      Fare  Embarked
0         3  34.5    1  34.5      0    7.8292         1
1         3  47.0    0  47.0      1    7.0000         2
2         2  62.0    1  62.0      0    9.6875         1
3         3  27.0    1  27.0      0    8.6625         2
4         3  22.0    0  22.0      1   12.2875         2
5         3  14.0    1  14.0      0    9.2250         2
6         3  30.0    0  30.0      0    7.6292         1
7         2  26.0    1  26.0      1   29.0000         2
8         3  18.0    0  18.0      0    7.2292         0
9         3  21.0    1  21.0      2   24.1500         2
10        3  27.0    1  27.0      0    7.8958         2
11        1  46.0    1  46.0      0   26.0000         2
12        1  23.0    0  23.0      1   82.2667         2
13        2  63.0    1  63.0      1   26.0000         2
14        1  47.0    0  47.0      1   61.1750         2
15        2  24.0    0  24.0      1   27.7208         0
16        2  35.0    1  35.0      0   12.3500         1
17        3  21.0    1  21.0      0    7.2250         0
18        3  27.0    0  27.0      1    7.9250         2
19        3  45.0    0  45.0      0    7.2250         0
20        1  55.0    1  55.0      1   59.4000         0
21        3   9.0    1   9.0      0    3.1708         2
22        1  27.0    0  27.0      0   31.6833         2
23        1  21.0    1  21.0      0   61.3792         0
24        1  48.0    0  48.0      1  262.3750         0
25        3  50.0    1  50.0      1   14.5000         2
26        1  22.0    0  22.0      0   61.9792         0
27        3  22.5    1  22.5      0    7.2250         0
28        1  41.0    1  41.0      0   30.5000         2
29        3  27.0    1  27.0      2   21.6792         0
..      ...   ...  ...   ...    ...       ...       ...
388       3  21.0    1  21.0      0    7.7500         1
389       3   6.0    1   6.0      3   21.0750         2
390       1  23.0    1  23.0      0   93.5000         2
391       1  51.0    0  51.0      0   39.4000         2
392       3  13.0    1  13.0      0   20.2500         2
393       2  47.0    1  47.0      0   10.5000         2
394       3  29.0    1  29.0      3   22.0250         2
395       1  18.0    0  18.0      1   60.0000         2
396       3  24.0    1  24.0      0    7.2500         1
397       1  48.0    0  48.0      1   79.2000         0
398       3  22.0    1  22.0      0    7.7750         2
399       3  31.0    1  31.0      0    7.7333         1
400       1  30.0    0  30.0      0  164.8667         2
401       2  38.0    1  38.0      1   21.0000         2
402       1  22.0    0  22.0      0   59.4000         0
403       1  17.0    1  17.0      0   47.1000         2
404       1  43.0    1  43.0      1   27.7208         0
405       2  20.0    1  20.0      0   13.8625         0
406       2  23.0    1  23.0      1   10.5000         2
407       1  50.0    1  50.0      1  211.5000         0
408       3  27.0    0  27.0      0    7.7208         1
409       3   3.0    0   3.0      1   13.7750         2
410       3  27.0    0  27.0      0    7.7500         1
411       1  37.0    0  37.0      1   90.0000         1
412       3  28.0    0  28.0      0    7.7750         2
413       3  27.0    1  27.0      0    8.0500         2
414       1  39.0    0  39.0      0  108.9000         0
415       3  38.5    1  38.5      0    7.2500         2
416       3  27.0    1  27.0      0    8.0500         2
417       3  27.0    1  27.0      1   22.3583         0

[418 rows x 7 columns]
